Time [ns],V(U1B5_M_DQ_0__B2) [V]
2.778967875,0.064823304
2.784065631,0.065990819
2.789163387,0.067028332
2.794261143,0.067904023
2.798954525,0.068543649
2.803647906,0.069007095
2.808341288,0.069286488
2.8128,0.069380228
2.812869761,0.069380342
2.812939522,0.069380415
2.814126167,0.069369752
2.815312812,0.06934726
2.817686102,0.069272698
2.821883447,0.069033692
2.827421675,0.068508358
2.832959903,0.067766706
2.838498131,0.066848873
2.84403636,0.06580801
2.848786648,0.064866813
2.851883058,0.064251649
2.854402829,0.063942369
2.855665601,0.063818143
2.856630481,0.063726438
2.857595361,0.06363819
2.858912991,0.063527443
2.860923007,0.063386859
2.8628,0.063290054
2.862869761,0.063287146
2.862939522,0.063284284
2.864126167,0.063248183
2.865312812,0.063223857
2.867686102,0.063201588
2.871686699,0.063237228
2.875687297,0.063351802
2.879687895,0.063542107
2.883688492,0.063820675
2.888985538,0.064364557
2.894282583,0.065144785
2.899579628,0.066173826
2.904876674,0.067437378
2.910173719,0.068905163
2.915470764,0.070550992
2.92076781,0.072362297
2.926064855,0.074333377
2.9313619,0.076453616
2.936658946,0.07869912
2.941955991,0.081032281
2.947253036,0.083408928
2.952550082,0.085781436
2.957847127,0.088102818
2.963144172,0.090325006
2.968441218,0.092395953
2.973738263,0.094255175
2.979035308,0.095834852
2.984332354,0.097083629
2.989629399,0.097986162
2.994926444,0.098574094
3.00022349,0.09892641
3.005520535,0.099165693
3.01081758,0.099454379
3.016114626,0.099993294
3.021411671,0.101021508
3.026708716,0.102816653
3.031896383,0.105622797
3.03708405,0.109804313
3.042271717,0.115691613
3.0472,0.123100369
3.048386645,0.125218852
3.04957329,0.1274514
3.05194658,0.132200198
3.056063779,0.141450179
3.061569313,0.155902698
3.067074848,0.17263427
3.072580382,0.191414706
3.078085917,0.21196625
3.082924925,0.2312596
3.086028257,0.24414002
3.087167766,0.248956739
3.087803073,0.251756654
3.088264654,0.253795606
3.088726235,0.255820341
3.089187815,0.257833029
3.089649396,0.259839279
3.090110977,0.261843066
3.090785186,0.264770156
3.0917356,0.268901889
3.093118992,0.274933571
3.095211817,0.284105514
3.0972,0.292871379
3.098386645,0.298133575
3.09957329,0.303407352
3.10194658,0.313971521
3.105847125,0.331321701
3.109747671,0.348561897
3.113648216,0.365597136
3.117548762,0.382355154
3.121449307,0.398791954
3.126233528,0.4184865
3.131994822,0.441534677
3.137756116,0.463877451
3.14351741,0.485544968
3.149278704,0.506549385
3.155039998,0.526884689
3.160801292,0.546522402
3.166562586,0.565432815
3.17232388,0.583603303
3.178085174,0.601041679
3.183846468,0.617769407
3.189607763,0.633816098
3.195369057,0.649209294
3.201130351,0.663965019
3.206891645,0.67808381
3.212652939,0.691566972
3.218414233,0.704420751
3.224175527,0.716649928
3.229936821,0.728262203
3.235698115,0.739266568
3.241459409,0.749673268
3.247220703,0.759497139
3.252981997,0.768759644
3.258743291,0.777488932
3.264504585,0.785715536
3.270265879,0.793471152
3.276027173,0.800781418
3.2816,0.807444422
3.281681388,0.807538753
3.281762775,0.807632999
3.28294942,0.80898919
3.284136065,0.810327772
3.286509355,0.812961205
3.29069415,0.817444457
3.296440305,0.82324031
3.30218646,0.828592165
3.307932615,0.833467409
3.31367877,0.837827471
3.318215791,0.840878977
3.319898543,0.8419191
3.320896554,0.84251188
3.321496006,0.842859193
3.321646565,0.842877185
3.321756551,0.84288311
3.3217659,0.84287507
3.321772748,0.842868701
3.321779595,0.842862141
3.321786443,0.842855486
3.321793291,0.842848764
3.321800138,0.842841983
3.321806986,0.842835147
3.321813834,0.842828265
3.321820681,0.842821348
3.321830958,0.842810934
3.321844882,0.842796838
3.321858805,0.84278285
3.321876563,0.842765304
3.321894321,0.842748225
3.321916923,0.842727353
3.32194726,0.842701155
3.321977598,0.842677293
3.322007935,0.842655895
3.322038272,0.842636956
3.32206861,0.842620339
3.322105465,0.842602912
3.32214232,0.842587976
3.322197022,0.842569048
3.322251724,0.842552515
3.322306425,0.842537329
3.322361127,0.842523163
3.322415829,0.842510314
3.32247053,0.842499437
3.322560031,0.842487469
3.322623017,0.842483806
3.322686003,0.842483714
3.322748989,0.842486361
3.322837614,0.842492937
3.322926239,0.84250156
3.322994297,0.842509426
3.323062355,0.842518723
3.32317993,0.842539258
3.323273395,0.842559782
3.323366861,0.842583342
3.323480348,0.84261466
3.323593836,0.842648081
3.323707324,0.842683645
3.323851333,0.8427325
3.323995343,0.842785522
3.324139352,0.842841871
3.324427371,0.842961822
3.32471539,0.843090592
3.325187674,0.843318383
3.325659957,0.843561688
3.326320372,0.843920035
3.327243557,0.844442008
3.328346454,0.84507429
3.329449351,0.845693231
3.330552248,0.846280284
3.3316,0.846795893
3.331681388,0.846833886
3.331762775,0.846871567
3.332413778,0.847152125
3.33306478,0.847411214
3.334366785,0.847875354
3.336265355,0.848408285
3.338163924,0.848766763
3.340062494,0.848962185
3.341961063,0.849013776
3.343859633,0.8489434
3.345758203,0.848772842
3.347656772,0.84852259
3.349555342,0.848211487
3.351453911,0.847856767
3.353842777,0.847372793
3.356231643,0.846870986
3.358620509,0.846372182
3.361009375,0.845891539
3.363398241,0.845437462
3.365787107,0.845011307
3.368175973,0.844609092
3.37129343,0.844106416
3.374410886,0.843610401
3.377528343,0.843105313
3.380645799,0.842584831
3.383763256,0.842053719
3.386880712,0.841526141
3.389998168,0.841020444
3.394141559,0.8404077
3.39828495,0.839869596
3.402428341,0.839385875
3.406571732,0.83891525
3.410715123,0.838408559
3.414858513,0.837823685
3.419001904,0.837137026
3.423145295,0.836347429
3.427288686,0.835472075
3.431432077,0.834537981
3.435575467,0.833573347
3.439718858,0.832600779
3.444847651,0.831411051
3.449976444,0.830261854
3.455105237,0.829187395
3.46023403,0.828238658
3.465362823,0.827463734
3.470491616,0.8268798
3.475620408,0.826462367
3.480749201,0.826137712
3.485877994,0.825784683
3.491006787,0.825252112
3.49613558,0.824388386
3.501164547,0.823090528
3.506193514,0.821243067
3.511222481,0.818787388
3.516,0.815860785
3.516651002,0.81541099
3.517302005,0.814950235
3.51860401,0.814000717
3.52120802,0.811971972
3.525825391,0.807922475
3.530442763,0.803306836
3.535060134,0.798179222
3.539677506,0.792622037
3.544294877,0.786743706
3.548912249,0.780676924
3.553238262,0.77494696
3.555494888,0.771974689
3.55593363,0.771399481
3.556164501,0.771015626
3.556293073,0.770792598
3.55639131,0.770624851
3.556489547,0.770462233
3.556587784,0.770304606
3.55668602,0.770150566
3.556807914,0.769962718
3.556929807,0.769777971
